Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
695bb36616109aae9d8a6cc7,General Information,https://trello.com/c/n4FPYazS/1-general-information,"**Overview**

The purpose of this board is to provide information about upcoming feature releases for the Fortnite Creator Roadmap. Features that are currently in development will be listed on this board, as well as those coming next. Please keep in mind that features and timing are subject to change.

**Connect With Us**

Visit our social channels to stay up to date with the most current information.",,,,1,https://trello.com/1/cards/695bb36616109aae9d8a6cc7/attachments/695bb36716109aae9d8a73d7/download/UEFN.png,0,0,0,0,2026-01-05T12:49:44.358Z,695bb36616109aae9d8a6c88,Roadmap 2025,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6cc9,Roadmap Disclaimer: Features and timing are subject to change,https://trello.com/c/QJPOGbCh/2-roadmap-disclaimer-features-and-timing-are-subject-to-change,,,,,1,https://trello.com/1/cards/695bb36616109aae9d8a6cc9/attachments/695bb36716109aae9d8a73e0/download/image_(527).png,0,0,0,0,2026-01-05T12:49:44.219Z,695bb36616109aae9d8a6c88,Roadmap 2025,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6ccb,Roadmap 2025,https://trello.com/c/nsPE1FZc/3-roadmap-2025,Graphical Overview of the 2024 Roadmap,"Core Tech (purple), Creation Tools (pink), Publishing Tools (pink_dark), Template (sky_dark)",,,0,,0,0,0,0,2026-01-05T12:49:42.994Z,695bb36616109aae9d8a6c88,Roadmap 2025,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6ce9,User Interface - Template,https://trello.com/c/PAVko0Ex/18-user-interface-template,"Learn how to create your own custom UI using widgets, materials, and textures using UMG. You can examine a variety of user widgets and their view bindings to better understand how widgets are laid out and how to bind them to Fortnite devices. You also get a host of useful UI materials and material functions add to new and existing projects to start building UI quickly.",Template (sky_dark),,,0,,0,0,0,0,2026-01-05T12:49:43.007Z,695bb36616109aae9d8a6c8a,Q1 - Shipped,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6d11,Improved Custom UI Widget Features,https://trello.com/c/pmzAAgMb/38-improved-custom-ui-widget-features,"Expanded gameplay data available to UI Widgets via the HUD Controller Device, including additional data available about player vitality and items. Additionally, Verse code can be used to Add and Remove UI Widgets made in UMG from the HUD.",Creation Tools (pink),,,0,,0,0,0,0,2026-01-05T12:49:43.023Z,695bb36616109aae9d8a6c8a,Q1 - Shipped,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6ced,Pre-Matchmaking Content Download,https://trello.com/c/APZtC7dy/20-pre-matchmaking-content-download,"Content download will happen after ready-up, reducing matchmaking failures caused by players cancelling or failing to download data in time.",Creation Tools (pink),,,0,,0,0,0,0,2026-01-05T12:49:43.006Z,695bb36616109aae9d8a6c8a,Q1 - Shipped,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6ce3,Text Chat Repositioning,https://trello.com/c/0tg7Cd6f/15-text-chat-repositioning,Creators can reposition Text Chat using the HUD controller device to adjust the location of Text Chat on screen for their Islands.,Creation Tools (pink),,,0,,0,0,0,0,2026-01-05T12:49:43.016Z,695bb36616109aae9d8a6c8a,Q1 - Shipped,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6cdf,Spatial Profiler,https://trello.com/c/vluuHsAW/13-spatial-profiler,"The Spatial Profiler is getting a significant upgrade:

- A session browser allows navigating between the live session (where metrics are captured) and previously saved sessions.
- The Spatial Profiler can now load multiple files to better compare previously saved metric data.
- A tree view represents the metrics contained within a session. Each metric has a status indicator to communicate its performance state.
- The new histogram view provides a timeline to signal performance spikes for each metric during a live session capture, zoom, and value navigation in the heatmap.
- The Spatial Profiler can now sample multiple sources in the live session, allowing creators to gather client and server metrics simultaneously.
- The Spatial Profiler now remembers previous metric selections, streamlining capture sessions.",Creation Tools (pink),,,0,,0,0,0,0,2026-01-05T12:49:43.000Z,695bb36616109aae9d8a6c8a,Q1 - Shipped,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6ce7,Test Players,https://trello.com/c/r2mBDuzV/17-test-players,"Providing a way to spawn and remove Test Players on game start and during a session from Edit sessions. Test Players act as idle players, allowing creators to test multiplayer logic, including players starting a game as well as joining and leaving a game in progress",Creation Tools (pink),,,0,,0,0,0,0,2026-01-05T12:49:43.007Z,695bb36616109aae9d8a6c8a,Q1 - Shipped,695bb36616109aae9d8a6c92,game,false,,false,
695bb36616109aae9d8a6ceb,Rift Point Capabilities,https://trello.com/c/q95zk3Ye/19-rift-point-capabilities,"The Rift Point Volume Device provides creators with a set of customization options such as plant time, defuse time, detonation as well as the team or individual players who can plant and defuse the Rift Point Item. The device and the item will allow creators to build Ballistic style games.",Creation Tools (pink),,,0,,0,0,0,0,2026-01-05T12:49:43.005Z,695bb36616109aae9d8a6c8a,Q1 - Shipped,695bb36616109aae9d8a6c92,game,false,,false,
